"year","month","day","PM_Average","city"
2010,3,28,NA,"Shanghai"
2010,3,29,221.875,"Beijing"
2010,3,29,NA,"Shanghai"
2010,3,30,251.666666666667,"Beijing"
2010,3,30,NA,"Shanghai"
2010,3,31,113.1,"Beijing"
2010,3,31,NA,"Shanghai"
2010,4,1,27.8636363636364,"Beijing"
2010,4,1,NA,"Shanghai"
2010,4,2,31.625,"Beijing"
2010,4,2,NA,"Shanghai"
2010,4,3,106.875,"Beijing"
2010,4,3,NA,"Shanghai"
2010,4,4,124.125,"Beijing"
2010,4,4,NA,"Shanghai"
2010,4,5,128.041666666667,"Beijing"
2010,4,5,NA,"Shanghai"
2010,4,6,21.2916666666667,"Beijing"
2010,4,6,NA,"Shanghai"
2010,4,7,94.75,"Beijing"
2010,4,7,NA,"Shanghai"
2010,4,8,108.208333333333,"Beijing"
2010,4,8,NA,"Shanghai"
2010,4,9,83.4583333333333,"Beijing"
2010,4,9,NA,"Shanghai"
2010,4,10,34.0416666666667,"Beijing"
2010,4,10,NA,"Shanghai"
2010,4,11,70.75,"Beijing"
2010,4,11,NA,"Shanghai"
2010,4,12,44.5,"Beijing"
2010,4,12,NA,"Shanghai"
2010,4,13,23.9583333333333,"Beijing"
2010,4,13,NA,"Shanghai"
2010,4,14,55.9166666666667,"Beijing"
2010,4,14,NA,"Shanghai"
2010,4,15,177.583333333333,"Beijing"
2010,4,15,NA,"Shanghai"
2010,4,16,205,"Beijing"
2010,4,16,NA,"Shanghai"
2010,4,17,152.375,"Beijing"
2010,4,17,NA,"Shanghai"
2010,4,18,240.25,"Beijing"
2010,4,18,NA,"Shanghai"
2010,4,19,199.5,"Beijing"
2010,4,19,NA,"Shanghai"
2010,4,20,80.25,"Beijing"
2010,4,20,NA,"Shanghai"
2010,4,21,39,"Beijing"
2010,4,21,NA,"Shanghai"
2010,4,22,39.5416666666667,"Beijing"
2010,4,22,NA,"Shanghai"
2010,4,23,33.5,"Beijing"
2010,4,23,NA,"Shanghai"
2010,4,24,88.75,"Beijing"
2010,4,24,NA,"Shanghai"
2010,4,25,83.8333333333333,"Beijing"
2010,4,25,NA,"Shanghai"
2010,4,26,13.5,"Beijing"
2010,4,26,NA,"Shanghai"
2010,4,27,25.125,"Beijing"
2010,4,27,NA,"Shanghai"
2010,4,28,16.125,"Beijing"
2010,4,28,NA,"Shanghai"
2010,4,29,19.0416666666667,"Beijing"
2010,4,29,NA,"Shanghai"
2010,4,30,29.0416666666667,"Beijing"
2010,4,30,NA,"Shanghai"
2010,5,1,69.9166666666667,"Beijing"
2010,5,1,NA,"Shanghai"
2010,5,2,76.4166666666667,"Beijing"
2010,5,2,NA,"Shanghai"
2010,5,3,113.291666666667,"Beijing"
2010,5,3,NA,"Shanghai"
2010,5,4,139.25,"Beijing"
2010,5,4,NA,"Shanghai"
2010,5,5,119.25,"Beijing"
2010,5,5,NA,"Shanghai"
2010,5,6,20.2916666666667,"Beijing"
2010,5,6,NA,"Shanghai"
2010,5,7,96.5,"Beijing"
2010,5,7,NA,"Shanghai"
2010,5,8,132,"Beijing"
2010,5,8,NA,"Shanghai"
2010,5,9,79.5833333333333,"Beijing"
2010,5,9,NA,"Shanghai"
2010,5,10,42.375,"Beijing"
2010,5,10,NA,"Shanghai"
2010,5,11,17.6666666666667,"Beijing"
2010,5,11,NA,"Shanghai"
2010,5,12,43.7916666666667,"Beijing"
2010,5,12,NA,"Shanghai"
2010,5,13,67.6666666666667,"Beijing"
2010,5,13,NA,"Shanghai"
2010,5,14,142.75,"Beijing"
2010,5,14,NA,"Shanghai"
2010,5,15,177.083333333333,"Beijing"
2010,5,15,NA,"Shanghai"
2010,5,16,107.625,"Beijing"
2010,5,16,NA,"Shanghai"
2010,5,17,69.1363636363636,"Beijing"
2010,5,17,NA,"Shanghai"
2010,5,18,50.0833333333333,"Beijing"
2010,5,18,NA,"Shanghai"
2010,5,19,34.4166666666667,"Beijing"
2010,5,19,NA,"Shanghai"
2010,5,20,65.4166666666667,"Beijing"
2010,5,20,NA,"Shanghai"
2010,5,21,113.875,"Beijing"
2010,5,21,NA,"Shanghai"
2010,5,22,148,"Beijing"
2010,5,22,NA,"Shanghai"
2010,5,23,123.208333333333,"Beijing"
2010,5,23,NA,"Shanghai"
2010,5,24,42.4583333333333,"Beijing"
2010,5,24,NA,"Shanghai"
2010,5,25,34.3333333333333,"Beijing"
2010,5,25,NA,"Shanghai"
2010,5,26,83.7083333333333,"Beijing"
2010,5,26,NA,"Shanghai"
2010,5,27,84.7894736842105,"Beijing"
2010,5,27,NA,"Shanghai"
2010,5,28,134.416666666667,"Beijing"
2010,5,28,NA,"Shanghai"
2010,5,29,137.583333333333,"Beijing"
2010,5,29,NA,"Shanghai"
2010,5,30,41.2916666666667,"Beijing"
2010,5,30,NA,"Shanghai"
2010,5,31,89.0833333333333,"Beijing"
2010,5,31,NA,"Shanghai"
2010,6,1,106.45,"Beijing"
2010,6,1,NA,"Shanghai"
2010,6,2,129.625,"Beijing"
2010,6,2,NA,"Shanghai"
2010,6,3,110.833333333333,"Beijing"
2010,6,3,NA,"Shanghai"
2010,6,4,80.0909090909091,"Beijing"
2010,6,4,NA,"Shanghai"
2010,6,5,NA,"Beijing"
2010,6,5,NA,"Shanghai"
2010,6,6,NA,"Beijing"
2010,6,6,NA,"Shanghai"
2010,6,7,131.307692307692,"Beijing"
2010,6,7,NA,"Shanghai"
2010,6,8,171.666666666667,"Beijing"
2010,6,8,NA,"Shanghai"
2010,6,9,47.25,"Beijing"
2010,6,9,NA,"Shanghai"
2010,6,10,51.7916666666667,"Beijing"
2010,6,10,NA,"Shanghai"
2010,6,11,87.375,"Beijing"
2010,6,11,NA,"Shanghai"
2010,6,12,106.5,"Beijing"
2010,6,12,NA,"Shanghai"
2010,6,13,117.791666666667,"Beijing"
2010,6,13,NA,"Shanghai"
2010,6,14,87.5833333333333,"Beijing"
2010,6,14,NA,"Shanghai"
2010,6,15,144.458333333333,"Beijing"
2010,6,15,NA,"Shanghai"
2010,6,16,90.9166666666667,"Beijing"
2010,6,16,NA,"Shanghai"
2010,6,17,37,"Beijing"
2010,6,17,NA,"Shanghai"
2010,6,18,68.2916666666667,"Beijing"
2010,6,18,NA,"Shanghai"
2010,6,19,100.125,"Beijing"
2010,6,19,NA,"Shanghai"
2010,6,20,74.5909090909091,"Beijing"
2010,6,20,NA,"Shanghai"
2010,6,21,76.8333333333333,"Beijing"
2010,6,21,NA,"Shanghai"
2010,6,22,128.777777777778,"Beijing"
2010,6,22,NA,"Shanghai"
2010,6,23,58.0666666666667,"Beijing"
2010,6,23,NA,"Shanghai"
2010,6,24,79.3333333333333,"Beijing"
2010,6,24,NA,"Shanghai"
2010,6,25,166.583333333333,"Beijing"
2010,6,25,NA,"Shanghai"
2010,6,26,169.333333333333,"Beijing"
2010,6,26,NA,"Shanghai"
2010,6,27,118.75,"Beijing"
2010,6,27,NA,"Shanghai"
2010,6,28,156.958333333333,"Beijing"
2010,6,28,NA,"Shanghai"
2010,6,29,188.208333333333,"Beijing"
2010,6,29,NA,"Shanghai"
2010,6,30,178.375,"Beijing"
2010,6,30,NA,"Shanghai"
2010,7,1,119.375,"Beijing"
2010,7,1,NA,"Shanghai"
2010,7,2,27.0416666666667,"Beijing"
2010,7,2,NA,"Shanghai"
2010,7,3,70.8333333333333,"Beijing"
2010,7,3,NA,"Shanghai"
2010,7,4,92.875,"Beijing"
2010,7,4,NA,"Shanghai"
2010,7,5,46.2916666666667,"Beijing"
2010,7,5,NA,"Shanghai"
2010,7,6,24.9583333333333,"Beijing"
2010,7,6,NA,"Shanghai"
2010,7,7,57.125,"Beijing"
2010,7,7,NA,"Shanghai"
2010,7,8,46.3333333333333,"Beijing"
2010,7,8,NA,"Shanghai"
2010,7,9,84.5833333333333,"Beijing"
2010,7,9,NA,"Shanghai"
2010,7,10,82.7916666666667,"Beijing"
2010,7,10,NA,"Shanghai"
2010,7,11,167.541666666667,"Beijing"
2010,7,11,NA,"Shanghai"
2010,7,12,122,"Beijing"
2010,7,12,NA,"Shanghai"
2010,7,13,103.458333333333,"Beijing"
2010,7,13,NA,"Shanghai"
2010,7,14,131.208333333333,"Beijing"
2010,7,14,NA,"Shanghai"
2010,7,15,197.791666666667,"Beijing"
2010,7,15,NA,"Shanghai"
2010,7,16,195.958333333333,"Beijing"
2010,7,16,NA,"Shanghai"
2010,7,17,120.708333333333,"Beijing"
2010,7,17,NA,"Shanghai"
2010,7,18,153.041666666667,"Beijing"
2010,7,18,NA,"Shanghai"
2010,7,19,164.333333333333,"Beijing"
2010,7,19,NA,"Shanghai"
2010,7,20,42.5,"Beijing"
2010,7,20,NA,"Shanghai"
2010,7,21,71.6666666666667,"Beijing"
2010,7,21,NA,"Shanghai"
2010,7,22,168.541666666667,"Beijing"
2010,7,22,NA,"Shanghai"
2010,7,23,169.166666666667,"Beijing"
2010,7,23,NA,"Shanghai"
2010,7,24,97.4583333333333,"Beijing"
2010,7,24,NA,"Shanghai"
2010,7,25,164.041666666667,"Beijing"
2010,7,25,NA,"Shanghai"
2010,7,26,211.583333333333,"Beijing"
2010,7,26,NA,"Shanghai"
2010,7,27,182.666666666667,"Beijing"
2010,7,27,NA,"Shanghai"
2010,7,28,177.041666666667,"Beijing"
2010,7,28,NA,"Shanghai"
2010,7,29,201.208333333333,"Beijing"
2010,7,29,NA,"Shanghai"
2010,7,30,212.375,"Beijing"
2010,7,30,NA,"Shanghai"
2010,7,31,119.708333333333,"Beijing"
2010,7,31,NA,"Shanghai"
2010,8,1,43.25,"Beijing"
2010,8,1,NA,"Shanghai"
2010,8,2,68.3333333333333,"Beijing"
2010,8,2,NA,"Shanghai"
2010,8,3,151.333333333333,"Beijing"
2010,8,3,NA,"Shanghai"
2010,8,4,113.708333333333,"Beijing"
2010,8,4,NA,"Shanghai"
2010,8,5,21,"Beijing"
2010,8,5,NA,"Shanghai"
2010,8,6,22,"Beijing"
2010,8,6,NA,"Shanghai"
2010,8,7,79.1666666666667,"Beijing"
2010,8,7,NA,"Shanghai"
2010,8,8,100.166666666667,"Beijing"
2010,8,8,NA,"Shanghai"
2010,8,9,242.958333333333,"Beijing"
2010,8,9,NA,"Shanghai"
2010,8,10,141.75,"Beijing"
2010,8,10,NA,"Shanghai"
2010,8,11,112.041666666667,"Beijing"
2010,8,11,NA,"Shanghai"
2010,8,12,93.0416666666667,"Beijing"
2010,8,12,NA,"Shanghai"
2010,8,13,131.842105263158,"Beijing"
2010,8,13,NA,"Shanghai"
2010,8,14,NA,"Beijing"
2010,8,14,NA,"Shanghai"
2010,8,15,NA,"Beijing"
2010,8,15,NA,"Shanghai"
2010,8,16,75.2222222222222,"Beijing"
2010,8,16,NA,"Shanghai"
2010,8,17,147,"Beijing"
2010,8,17,NA,"Shanghai"
2010,8,18,229.875,"Beijing"
2010,8,18,NA,"Shanghai"
2010,8,19,113.958333333333,"Beijing"
2010,8,19,NA,"Shanghai"
2010,8,20,113,"Beijing"
2010,8,20,NA,"Shanghai"
2010,8,21,37.1666666666667,"Beijing"
2010,8,21,NA,"Shanghai"
2010,8,22,23.625,"Beijing"
2010,8,22,NA,"Shanghai"
2010,8,23,85.0833333333333,"Beijing"
2010,8,23,NA,"Shanghai"
2010,8,24,127.166666666667,"Beijing"
2010,8,24,NA,"Shanghai"
2010,8,25,90.1666666666667,"Beijing"
2010,8,25,NA,"Shanghai"
2010,8,26,60.1666666666667,"Beijing"
2010,8,26,NA,"Shanghai"
2010,8,27,39.875,"Beijing"
2010,8,27,NA,"Shanghai"
2010,8,28,51.3333333333333,"Beijing"
2010,8,28,NA,"Shanghai"
2010,8,29,113.583333333333,"Beijing"
2010,8,29,NA,"Shanghai"
2010,8,30,110,"Beijing"
2010,8,30,NA,"Shanghai"
2010,8,31,88.0833333333333,"Beijing"
2010,8,31,NA,"Shanghai"
2010,9,1,69.6666666666667,"Beijing"
2010,9,1,NA,"Shanghai"
2010,9,2,103.375,"Beijing"
2010,9,2,NA,"Shanghai"
2010,9,3,106.791666666667,"Beijing"
2010,9,3,NA,"Shanghai"
2010,9,4,91.7916666666667,"Beijing"
2010,9,4,NA,"Shanghai"
2010,9,5,119.5,"Beijing"
2010,9,5,NA,"Shanghai"
2010,9,6,158,"Beijing"
2010,9,6,NA,"Shanghai"
2010,9,7,129.458333333333,"Beijing"
2010,9,7,NA,"Shanghai"
2010,9,8,97.0416666666667,"Beijing"
2010,9,8,NA,"Shanghai"
2010,9,9,162.25,"Beijing"
2010,9,9,NA,"Shanghai"
2010,9,10,99.7083333333333,"Beijing"
2010,9,10,NA,"Shanghai"
2010,9,11,77.375,"Beijing"
2010,9,11,NA,"Shanghai"
2010,9,12,124.125,"Beijing"
2010,9,12,NA,"Shanghai"
2010,9,13,159.375,"Beijing"
2010,9,13,NA,"Shanghai"
2010,9,14,200.458333333333,"Beijing"
2010,9,14,NA,"Shanghai"
2010,9,15,301.75,"Beijing"
2010,9,15,NA,"Shanghai"
2010,9,16,191.916666666667,"Beijing"
2010,9,16,NA,"Shanghai"
2010,9,17,41.25,"Beijing"
2010,9,17,NA,"Shanghai"
2010,9,18,23.625,"Beijing"
2010,9,18,NA,"Shanghai"
2010,9,19,74.1578947368421,"Beijing"
2010,9,19,NA,"Shanghai"
2010,9,20,90.4166666666667,"Beijing"
2010,9,20,NA,"Shanghai"
2010,9,21,9,"Beijing"
2010,9,21,NA,"Shanghai"
2010,9,22,NA,"Beijing"
2010,9,22,NA,"Shanghai"
2010,9,23,NA,"Beijing"
2010,9,23,NA,"Shanghai"
2010,9,24,NA,"Beijing"
2010,9,24,NA,"Shanghai"
2010,9,25,NA,"Beijing"
2010,9,25,NA,"Shanghai"
2010,9,26,NA,"Beijing"
2010,9,26,NA,"Shanghai"
2010,9,27,45,"Beijing"
2010,9,27,NA,"Shanghai"
2010,9,28,NA,"Beijing"
2010,9,28,NA,"Shanghai"
2010,9,29,NA,"Beijing"
2010,9,29,NA,"Shanghai"
2010,9,30,216.5,"Beijing"
2010,9,30,NA,"Shanghai"
2010,10,1,220.875,"Beijing"
2010,10,1,NA,"Shanghai"
2010,10,2,28.5416666666667,"Beijing"
2010,10,2,NA,"Shanghai"
2010,10,3,9.875,"Beijing"
2010,10,3,NA,"Shanghai"
2010,10,4,27.7083333333333,"Beijing"
2010,10,4,NA,"Shanghai"
2010,10,5,82.125,"Beijing"
2010,10,5,NA,"Shanghai"
2010,10,6,281.291666666667,"Beijing"
2010,10,6,NA,"Shanghai"
2010,10,7,373.916666666667,"Beijing"
2010,10,7,NA,"Shanghai"
2010,10,8,362.5,"Beijing"
2010,10,8,NA,"Shanghai"
2010,10,9,363.25,"Beijing"
2010,10,9,NA,"Shanghai"
2010,10,10,371.208333333333,"Beijing"
2010,10,10,NA,"Shanghai"
2010,10,11,10.5833333333333,"Beijing"
2010,10,11,NA,"Shanghai"
2010,10,12,58.4545454545455,"Beijing"
2010,10,12,NA,"Shanghai"
2010,10,13,110.958333333333,"Beijing"
2010,10,13,NA,"Shanghai"
2010,10,14,15.125,"Beijing"
2010,10,14,NA,"Shanghai"
2010,10,15,43.1666666666667,"Beijing"
2010,10,15,NA,"Shanghai"
2010,10,16,72.5833333333333,"Beijing"
2010,10,16,NA,"Shanghai"
2010,10,17,48.125,"Beijing"
2010,10,17,NA,"Shanghai"
2010,10,18,66.125,"Beijing"
2010,10,18,NA,"Shanghai"
2010,10,19,73.375,"Beijing"
2010,10,19,NA,"Shanghai"
2010,10,20,82.4166666666667,"Beijing"
2010,10,20,NA,"Shanghai"
2010,10,21,128.375,"Beijing"
2010,10,21,NA,"Shanghai"
2010,10,22,168.666666666667,"Beijing"
2010,10,22,NA,"Shanghai"
2010,10,23,220.125,"Beijing"
2010,10,23,NA,"Shanghai"
2010,10,24,91.0416666666667,"Beijing"
2010,10,24,NA,"Shanghai"
2010,10,25,10.9583333333333,"Beijing"
2010,10,25,NA,"Shanghai"
2010,10,26,14.4166666666667,"Beijing"
2010,10,26,NA,"Shanghai"
2010,10,27,92.5,"Beijing"
2010,10,27,NA,"Shanghai"
2010,10,28,71.9166666666667,"Beijing"
2010,10,28,NA,"Shanghai"
2010,10,29,52.3333333333333,"Beijing"
2010,10,29,NA,"Shanghai"
2010,10,30,52.75,"Beijing"
2010,10,30,NA,"Shanghai"
2010,10,31,72,"Beijing"
2010,10,31,NA,"Shanghai"
2010,11,1,65.5,"Beijing"
2010,11,1,NA,"Shanghai"
2010,11,2,NA,"Beijing"
2010,11,2,NA,"Shanghai"
2010,11,3,111.1,"Beijing"
2010,11,3,NA,"Shanghai"
2010,11,4,66.5,"Beijing"
2010,11,4,NA,"Shanghai"
2010,11,5,105.416666666667,"Beijing"
2010,11,5,NA,"Shanghai"
2010,11,6,280.583333333333,"Beijing"
2010,11,6,NA,"Shanghai"
2010,11,7,50.7083333333333,"Beijing"
2010,11,7,NA,"Shanghai"
2010,11,8,13,"Beijing"
2010,11,8,NA,"Shanghai"
2010,11,9,64.4583333333333,"Beijing"
2010,11,9,NA,"Shanghai"
2010,11,10,133.333333333333,"Beijing"
2010,11,10,NA,"Shanghai"
2010,11,11,67.2083333333333,"Beijing"
2010,11,11,NA,"Shanghai"
2010,11,12,67.4583333333333,"Beijing"
2010,11,12,NA,"Shanghai"
2010,11,13,16,"Beijing"
2010,11,13,NA,"Shanghai"
2010,11,14,21.7083333333333,"Beijing"
2010,11,14,NA,"Shanghai"
2010,11,15,59.4166666666667,"Beijing"
2010,11,15,NA,"Shanghai"
2010,11,16,143.041666666667,"Beijing"
2010,11,16,NA,"Shanghai"
2010,11,17,330.875,"Beijing"
2010,11,17,NA,"Shanghai"
2010,11,18,385.083333333333,"Beijing"
2010,11,18,NA,"Shanghai"
2010,11,19,366.958333333333,"Beijing"
2010,11,19,NA,"Shanghai"
2010,11,20,295.708333333333,"Beijing"
2010,11,20,NA,"Shanghai"
2010,11,21,119.458333333333,"Beijing"
2010,11,21,NA,"Shanghai"
2010,11,22,79.2727272727273,"Beijing"
2010,11,22,NA,"Shanghai"
2010,11,23,232.041666666667,"Beijing"
2010,11,23,NA,"Shanghai"
2010,11,24,61.75,"Beijing"
2010,11,24,NA,"Shanghai"
2010,11,25,71.875,"Beijing"
2010,11,25,NA,"Shanghai"
2010,11,26,112.541666666667,"Beijing"
2010,11,26,NA,"Shanghai"
2010,11,27,27.8333333333333,"Beijing"
2010,11,27,NA,"Shanghai"
2010,11,28,187.916666666667,"Beijing"
2010,11,28,NA,"Shanghai"
2010,11,29,181.791666666667,"Beijing"
2010,11,29,NA,"Shanghai"
2010,11,30,225.166666666667,"Beijing"
2010,11,30,NA,"Shanghai"
2010,12,1,258.083333333333,"Beijing"
2010,12,1,NA,"Shanghai"
2010,12,2,72.875,"Beijing"
2010,12,2,NA,"Shanghai"
2010,12,3,82.1666666666667,"Beijing"
2010,12,3,NA,"Shanghai"
2010,12,4,172.708333333333,"Beijing"
2010,12,4,NA,"Shanghai"
2010,12,5,65.5,"Beijing"
2010,12,5,NA,"Shanghai"
2010,12,6,19.9583333333333,"Beijing"
2010,12,6,NA,"Shanghai"
2010,12,7,58.3333333333333,"Beijing"
2010,12,7,NA,"Shanghai"
2010,12,8,40.375,"Beijing"
2010,12,8,NA,"Shanghai"
2010,12,9,198.708333333333,"Beijing"
2010,12,9,NA,"Shanghai"
2010,12,10,95.5,"Beijing"
2010,12,10,NA,"Shanghai"
2010,12,11,49.5833333333333,"Beijing"
2010,12,11,NA,"Shanghai"
2010,12,12,116.75,"Beijing"
2010,12,12,NA,"Shanghai"
2010,12,13,15.6666666666667,"Beijing"
2010,12,13,NA,"Shanghai"
2010,12,14,17.125,"Beijing"
2010,12,14,NA,"Shanghai"
2010,12,15,22.7916666666667,"Beijing"
2010,12,15,NA,"Shanghai"
2010,12,16,55.6666666666667,"Beijing"
2010,12,16,NA,"Shanghai"
2010,12,17,121.625,"Beijing"
2010,12,17,NA,"Shanghai"
2010,12,18,278.166666666667,"Beijing"
2010,12,18,NA,"Shanghai"
2010,12,19,137.833333333333,"Beijing"
2010,12,19,NA,"Shanghai"
2010,12,20,210.666666666667,"Beijing"
2010,12,20,NA,"Shanghai"
2010,12,21,441.5,"Beijing"
2010,12,21,NA,"Shanghai"
2010,12,22,121.791666666667,"Beijing"
2010,12,22,NA,"Shanghai"
2010,12,23,24.0833333333333,"Beijing"
2010,12,23,NA,"Shanghai"
2010,12,24,47.75,"Beijing"
2010,12,24,NA,"Shanghai"
2010,12,25,56.75,"Beijing"
2010,12,25,NA,"Shanghai"
2010,12,26,47.2083333333333,"Beijing"
2010,12,26,NA,"Shanghai"
2010,12,27,77,"Beijing"
2010,12,27,NA,"Shanghai"
2010,12,28,30.5416666666667,"Beijing"
2010,12,28,NA,"Shanghai"
2010,12,29,34.2916666666667,"Beijing"
2010,12,29,NA,"Shanghai"
2010,12,30,17.7083333333333,"Beijing"
2010,12,30,NA,"Shanghai"
2010,12,31,18.6086956521739,"Beijing"
2010,12,31,NA,"Shanghai"
2011,1,1,36,"Beijing"
2011,1,1,NA,"Shanghai"
2011,1,2,37.875,"Beijing"
2011,1,2,NA,"Shanghai"
2011,1,3,169.291666666667,"Beijing"
